Gebied,dp,yMV.bui,ysloot.1d,xMV.bin,xSloot.1a,xSloot.1c,xSloot.1d,xSloot.1b,xWeg.1,xTeen.1,xBerm.1a,xBerm.1b,xKruin.1,xKruin.2,xBerm.2a,xBerm.2b,xTeen.2,xWeg.2,xSloot.2,xMVB.bui,yMV.bin,ySloot.1a,ySloot.1c,ySloot.1b,yWeg.1,yTeen.1,yBerm.1a,yBerm.1b,yKruin.1,yKruin.2,yBerm.2a,yBerm.2b,yTeen.2,yWeg.2,ySloot.2
Os,785.0,-1.347,-0.99,-171.8,-18.8,-16.74,-16.51,-14.8,-12.8,-7.605,-1.665,-1.665,-1.665,1.784,4.979,9.271,24.251,43.2,43.2,78.2,0.481,0.66,-0.99,0.38,1.508,1.83,5.15,5.15,5.15,5.09,3.73,3.66,-0.78,1.122,1.122
Os,786.0,-1.363,-0.99,-200.26,-25.26,-22.66,-17.15,-13.26,-13.26,-7.177,-1.185,-1.185,-1.185,1.475,4.803,8.163,23.067,34.74,34.74,34.74,0.534,0.744,-0.99,1.603,1.603,2.05,5.19,5.19,5.19,5.11,3.99,3.37,-0.79,-1.363,-1.363
Os,787.0,-1.055,-0.99,-168.86,-59.86,-56.68,-42.92,-40.86,-38.86,-19.86,-15.86,-5.86,-1.937,-0.368,2.229,7.581,24.127,25.14,25.14,25.14,0.773,1.127,-0.99,0.386,0.825,0.563,2.045,2.391,5.11,5.13,3.92,3.72,-1.0,-1.055,-1.055
Os,788.0,-1.308,-0.99,-200.9,-78.9,-76.19,-24.48,-22.9,-22.9,-22.9,-16.9,-9.9,-2.584,0.421,4.125,11.501,27.362,32.36,32.36,32.36,0.755,0.818,-0.99,0.061,0.061,0.061,1.747,2.117,5.38,5.53,4.0,3.77,-1.05,-1.308,-1.308
Os,789.0,-1.347,-0.99,-200.45,-89.45,-86.83,-23.95,-22.45,-19.45,-10.772,-1.635,-1.635,-1.635,0.186,4.321,13.598,29.631,36.55,36.55,36.55,0.755,0.755,-0.99,0.008,1.31,1.79,5.5,5.5,5.5,5.41,3.99,3.73,-0.99,-1.347,-1.347
Os,790.0,-1.292,-1.11,-200.41,-17.41,-16.21,-15.93,-14.41,-14.41,-11.188,-11.188,-1.646,-1.646,-0.288,3.563,14.873,30.931,32.59,32.59,32.59,0.608,0.608,-1.11,1.067,1.067,1.38,1.38,5.71,5.71,5.83,4.04,3.71,-1.04,-1.292,-1.292
Os,791.0,-1.091,-1.11,-200.72,-18.72,-17.47,-17.15,-15.72,-14.72,-11.66,-2.128,-2.128,-2.128,-0.552,3.649,15.011,30.884,31.28,42.28,66.28,0.448,0.448,-1.11,0.68,1.228,1.38,5.7,5.7,5.7,5.74,3.94,3.7,-1.06,-0.864,-1.272
Os,792.0,-1.059,-1.11,-200.06,-19.06,-17.29,-17.04,-15.06,-15.06,-11.898,-2.177,-2.177,-2.177,-0.782,3.39,11.453,27.364,30.94,59.94,67.94,0.627,0.852,-1.11,1.089,1.089,1.41,5.73,5.73,5.73,5.78,3.95,3.72,-1.06,-1.236,-1.227
Os,793.0,-0.976,-1.11,-200.1,-18.68,-16.72,-16.2,-14.1,-14.1,-11.096,-1.629,-1.629,-1.629,-0.671,3.685,11.538,27.497,34.9,60.9,74.9,0.549,0.848,-1.11,0.994,0.994,1.46,5.78,5.78,5.78,5.81,3.97,3.74,-1.03,-1.306,-1.099
Os,794.0,-1.268,-1.11,-200.96,-17.96,-16.43,-16.13,-13.96,-13.96,-11.61,-1.828,-1.828,-1.828,-0.725,3.668,13.575,29.758,34.04,51.04,73.04,0.422,0.422,-1.11,1.063,1.063,1.22,5.76,5.76,5.76,5.78,3.99,3.74,-1.08,-1.131,-1.024
Os,795.0,-1.19,-1.11,-200.2,-17.2,-16.03,-15.69,-14.2,-14.2,-10.669,-1.696,-1.696,-1.696,-0.741,3.798,13.259,29.281,41.8,62.8,91.8,0.565,0.565,-1.11,1.012,1.012,1.54,5.72,5.72,5.72,5.74,3.97,3.79,-1.04,-1.12,-1.122
Os,796.0,-0.99,-1.11,-191.54,-18.54,-17.05,-16.75,-15.54,-14.54,-11.485,-2.284,-2.284,-2.284,-0.988,3.881,11.041,24.626,38.46,59.46,100.46,0.544,0.544,-1.11,0.23,0.977,1.34,5.59,5.59,5.59,5.56,3.87,3.74,-0.28,-0.919,-1.19
Os,797.0,-1.143,-1.17,-194.47,-36.47,-34.51,-34.17,-33.47,-16.47,-11.943,-2.68,-2.68,-2.68,-1.185,4.075,10.089,23.642,26.53,48.53,97.53,0.138,0.138,-1.17,-0.704,0.018,1.08,5.3,5.3,5.3,5.37,3.97,3.71,-0.33,-0.657,-1.256
Os,798.0,-1.13,-0.3,-200.86,-16.86,-15.82,-15.53,-13.86,-13.86,-10.84,-2.162,-2.162,-2.162,-0.919,3.669,11.157,24.705,33.87,65.14,75.14,0.362,0.472,-0.3,0.937,0.937,1.29,5.34,5.34,5.34,5.41,4.02,3.75,-0.3,-1.07,-0.822
Os,799.0,-1.183,-0.3,-200.25,-18.25,-16.89,-16.66,-15.25,-15.25,-11.285,-1.948,-1.948,-1.948,-0.881,3.198,10.13,25.291,38.75,64.75,87.75,0.399,0.788,-0.3,0.832,0.832,1.19,5.45,5.45,5.45,5.48,4.01,3.73,-0.36,-0.987,-0.969
Os,800.0,-0.923,-0.3,-200.62,-17.62,-15.76,-14.99,-12.62,-12.62,-11.182,-2.098,-2.098,-2.098,-0.752,3.401,10.035,25.218,26.38,56.38,82.38,0.557,0.943,-0.3,1.281,1.281,1.28,5.47,5.47,5.47,5.56,3.94,3.7,-0.27,-0.221,-1.263
Os,801.0,-0.613,-0.3,-200.42,-26.42,-24.02,-23.17,-21.42,-20.42,-14.101,-4.641,-4.641,-4.641,-2.849,5.658,12.77,28.051,40.58,40.58,83.58,0.578,1.299,-0.3,0.868,1.514,2.22,5.75,5.75,5.75,5.75,3.95,3.67,-0.31,-0.815,-0.815
Os,802.0,-0.166,-0.3,-154.37,-27.69,-26.61,-26.28,-25.37,-23.37,-13.179,-2.573,-2.573,-2.573,0.241,3.118,18.957,33.285,35.63,35.63,171.63,0.606,0.78,-0.3,0.611,1.767,2.32,5.89,5.89,5.89,5.79,4.73,3.71,-0.1,0.078,0.078
Os,803.0,-0.107,-1.0,-200.59,-28.59,-26.74,-26.47,-24.59,-21.59,-16.386,-3.089,-3.089,-3.089,-0.053,4.403,14.719,28.444,39.41,39.41,182.41,0.436,0.605,-1.0,0.637,0.908,1.01,6.16,6.16,6.16,6.14,4.47,4.01,-0.26,0.076,0.076
Os,804.0,-0.168,-1.0,-200.16,-28.59,-26.18,-25.84,-23.16,-23.16,-15.5,-3.018,-3.018,-3.018,-0.589,5.511,13.085,25.007,82.84,82.84,149.84,0.48,0.608,-1.0,0.785,0.785,1.24,6.26,6.26,6.26,6.27,4.26,4.05,0.47,-0.089,-0.089
Os,805.0,-0.211,-1.0,-181.91,-31.91,-29.24,-26.65,-23.91,-23.91,-15.367,-2.392,-2.392,-2.392,-0.085,5.489,12.882,25.312,49.09,49.09,116.09,0.57,0.779,-1.0,0.825,0.825,1.2,6.31,6.31,6.31,6.18,4.27,4.04,-0.07,-0.296,-0.296
Os,806.0,-0.302,-1.32,-199.0,-28.78,-26.78,-26.48,-24.0,-24.0,-16.222,-2.816,-2.816,-2.816,-1.101,4.708,9.713,22.232,37.0,37.0,93.0,0.284,0.284,-1.32,0.665,0.665,1.12,6.33,6.33,6.33,6.28,4.26,4.05,0.34,-0.404,-0.404
Os,807.0,-0.359,-1.24,-70.0,-28.0,-26.46,-26.26,-24.0,-24.0,-16.392,-2.592,-2.592,-2.592,-0.382,6.362,11.472,23.306,23.31,39.0,84.0,-0.139,-0.139,-1.24,0.372,0.372,0.94,6.36,6.36,6.36,6.25,4.26,4.06,-0.03,-0.019,-0.398
Os,808.0,-0.283,-1.24,-134.0,-29.0,-26.6,-26.2,-24.0,-24.0,-16.529,-2.908,-2.908,-2.908,-0.682,5.226,9.794,20.961,21.0,33.0,84.0,0.17,0.361,-1.24,0.225,0.225,0.79,6.34,6.34,6.34,6.21,4.24,4.03,0.26,0.073,-0.328
Os,809.0,-0.416,-1.24,-153.0,-29.0,-27.2,-26.94,-25.0,-25.0,-16.371,-2.667,-2.667,-2.667,-0.035,6.254,10.944,20.355,22.0,37.0,103.0,0.095,0.095,-1.24,0.196,0.196,0.72,6.26,6.26,6.26,6.15,4.22,4.05,0.71,0.04,-0.315
Os,810.0,-0.248,-1.23,-174.0,-29.0,-26.95,-26.37,-24.0,-24.0,-16.914,-2.647,-2.647,-2.647,-0.016,5.965,10.449,19.754,21.0,32.0,119.0,0.137,0.137,-1.23,0.348,0.348,0.69,6.37,6.37,6.37,6.17,4.18,4.06,1.05,0.2,-0.329
Os,811.0,-0.272,-1.1,-191.0,-29.86,-28.33,-28.12,-26.0,-26.0,-16.903,-2.469,-2.469,-2.469,-0.351,5.74,10.905,19.904,28.0,28.0,143.0,0.034,0.034,-1.1,0.471,0.471,0.74,6.41,6.41,6.41,6.21,4.26,4.0,1.35,-0.212,-0.212
Os,812.0,-0.466,-1.28,-201.0,-28.0,-26.07,-25.76,-24.0,-24.0,-16.114,-2.881,-2.881,-2.881,-0.123,6.155,11.729,20.875,28.0,146.0,166.0,0.195,0.473,-1.28,0.316,0.316,0.65,6.15,6.15,6.15,6.08,4.21,4.02,1.14,-0.045,-0.29
Os,813.0,-0.657,-1.66,-200.22,-29.22,-27.71,-27.44,-25.22,-17.83,-17.827,-3.319,-3.319,-3.319,-0.91,5.459,12.512,21.39,28.78,28.78,183.78,-0.286,-0.286,-1.66,0.356,0.593,0.58,6.44,6.44,6.44,6.29,4.26,4.04,1.18,0.138,0.138
Os,814.0,-0.48,-1.66,-201.0,-28.0,-26.65,-26.34,-25.0,-22.0,-16.206,-2.409,-2.409,-2.409,-0.092,7.066,11.888,20.404,25.0,172.0,189.0,-0.237,-0.237,-1.66,-0.252,0.653,0.75,6.24,6.24,6.24,6.19,4.25,4.06,1.17,-0.006,-0.517
Os,815.0,-0.599,-1.7,-103.24,-28.21,-26.47,-26.16,-24.0,-24.0,-16.659,-2.948,-2.948,-2.948,-0.06,6.933,10.329,18.915,21.0,53.0,186.0,0.039,0.13,-1.7,0.576,0.576,0.88,6.47,6.47,6.47,6.33,4.18,4.02,0.62,0.073,-0.27
Os,816.0,-0.81,-1.7,-176.19,-28.19,-25.65,-25.44,-22.19,-22.19,-16.173,-2.778,-2.778,-2.778,0.275,6.819,13.51,22.404,24.81,113.81,198.81,-0.123,0.117,-1.7,0.624,0.624,0.9,6.36,6.36,6.36,6.22,4.24,4.02,0.79,0.131,-0.453
Os,817.0,-1.078,-1.7,-138.06,-27.26,-25.15,-24.82,-22.06,-22.06,-16.352,-3.116,-3.116,-3.116,0.326,5.814,21.406,35.967,57.94,238.94,310.94,-0.273,0.135,-1.7,0.697,0.697,0.77,6.25,6.25,6.25,6.15,4.27,4.17,0.41,0.338,-0.391
Os,818.0,-0.911,-1.7,-135.0,-28.0,-26.43,-26.08,-24.0,-24.0,-16.732,-3.618,-3.618,-3.618,-0.493,5.266,11.458,22.666,29.0,236.0,326.0,-0.289,0.145,-1.7,0.743,0.743,0.91,6.18,6.18,6.18,6.2,4.26,4.04,0.33,0.443,-0.409
Os,819.0,-0.874,-1.7,-133.0,-28.0,-26.41,-26.15,-25.0,-25.0,-22.999,-21.11,-14.083,-3.054,-0.154,5.21,13.321,24.371,32.0,293.0,362.0,-0.047,0.176,-1.7,-0.343,-0.343,0.44,1.58,1.87,6.13,6.1,4.28,4.06,0.52,0.618,-0.694
Os,820.0,-0.871,-0.99,-210.18,-53.18,-51.55,-51.22,-49.18,-34.18,-29.025,-17.87,-5.05,-3.858,-0.431,0.407,7.237,32.856,43.82,251.82,362.82,0.493,0.493,-0.99,0.866,1.422,1.31,5.4,5.71,5.94,5.84,5.61,5.2,0.3,0.736,-0.566
Os,821.0,-0.883,-0.72,-200.26,-27.24,-25.24,-24.87,-22.26,-22.26,-14.802,-2.729,-2.729,-2.729,-0.086,7.119,12.541,23.276,33.74,199.74,322.74,0.611,0.611,-0.72,1.018,1.018,1.18,6.29,6.29,6.29,6.3,3.84,3.57,0.64,1.236,-0.537
Os,822.0,-0.894,-0.72,-200.43,-29.25,-26.93,-26.12,-23.43,-23.43,-17.258,-3.897,-3.897,-3.897,-0.862,6.814,12.905,25.144,31.57,88.57,191.57,0.408,0.827,-0.72,1.074,1.074,1.27,6.49,6.49,6.49,6.47,3.92,3.64,0.36,-0.13,-0.619
Os,823.0,-0.788,-0.52,-200.94,-27.61,-26.13,-24.34,-21.94,-21.94,-15.9,-2.965,-2.965,-2.965,-0.535,6.739,13.495,25.005,32.6,32.6,183.06,0.466,0.466,-0.52,1.079,1.079,1.2,6.49,6.49,6.49,6.51,3.86,3.57,0.41,-0.43,-0.43
Os,824.0,-0.94,-0.52,-200.63,-27.59,-25.66,-24.86,-22.63,-16.63,-16.14,-2.723,-2.723,-2.723,-0.408,6.643,13.355,25.272,31.37,142.37,159.37,0.672,0.768,-0.52,0.964,0.917,1.0,6.44,6.44,6.44,6.44,3.9,3.61,0.38,-0.384,-0.746
Os,825.0,-0.888,-0.61,-194.83,-30.69,-29.02,-27.97,-25.83,-16.82,-16.82,-2.838,-2.838,-2.838,-0.267,7.679,14.431,25.118,31.17,82.17,155.17,0.501,0.501,-0.61,0.819,1.01,1.01,6.66,6.66,6.66,6.59,3.83,3.61,0.44,0.098,-0.379
Os,826.0,-1.111,-0.61,-200.8,-26.8,-25.07,-24.87,-22.8,-15.978,-15.978,-3.08,-3.08,-3.08,-0.584,7.235,13.681,26.351,30.2,80.2,170.2,0.67,0.67,-0.61,0.921,1.06,1.06,6.33,6.33,6.33,6.36,3.78,3.65,0.2,-0.584,-0.592
Os,827.0,-1.324,-0.59,-200.61,-27.58,-25.28,-24.36,-21.61,-16.61,-15.82,-3.09,-3.09,-3.09,-0.761,7.145,13.495,25.199,29.39,65.39,226.39,0.802,0.94,-0.59,1.242,1.193,1.26,6.46,6.46,6.46,6.47,3.78,3.6,0.35,-0.551,-0.659
Os,828.0,-1.333,-0.59,-201.0,-27.0,-24.73,-24.4,-22.0,-22.0,-15.142,-2.811,-2.811,-2.811,-0.528,7.339,13.66,26.142,30.0,136.0,283.0,0.818,1.094,-0.59,1.19,1.19,1.41,6.4,6.4,6.4,6.44,3.81,3.6,0.24,-0.407,-0.931
Os,829.0,-1.628,-0.59,-200.93,-26.93,-24.68,-24.47,-21.93,-21.93,-14.979,-2.795,-2.795,-2.795,-0.552,7.765,13.823,25.428,29.07,210.07,314.07,0.661,1.079,-0.59,1.29,1.29,1.5,6.43,6.43,6.43,6.43,3.8,3.61,0.44,-0.269,-1.283
Os,830.0,-1.668,-0.59,-200.26,-28.26,-25.68,-25.13,-22.26,-22.26,-15.23,-3.169,-3.169,-3.169,-0.816,7.351,13.578,25.017,33.74,95.74,319.74,0.822,1.13,-0.59,1.323,1.323,1.48,6.51,6.51,6.51,6.54,3.78,3.6,0.35,-0.666,-0.545
Os,831.0,-1.597,-0.58,-200.32,-27.32,-25.05,-24.67,-22.32,-22.32,-14.917,-2.75,-2.75,-2.75,-0.53,7.862,14.005,25.892,33.33,135.68,325.68,0.841,1.236,-0.58,1.302,1.302,1.58,6.59,6.59,6.59,6.61,3.83,3.6,0.33,-0.535,-0.686
Os,832.0,-1.611,-0.58,-200.68,-27.68,-25.57,-25.26,-22.68,-21.68,-16.024,-3.361,-3.361,-3.361,-1.209,6.97,13.299,24.645,33.32,158.32,311.32,0.72,0.98,-0.58,1.334,1.572,1.57,6.5,6.5,6.5,6.53,3.92,3.62,0.37,-0.398,-0.768
Os,833.0,-1.654,-0.63,-200.0,-29.0,-26.12,-24.99,-22.0,-22.0,-15.103,-2.719,-2.719,-2.719,-0.134,7.169,13.024,24.527,36.0,194.0,321.0,0.669,1.288,-0.63,1.364,1.364,1.34,6.29,6.29,6.29,6.28,3.8,3.57,0.55,0.088,-1.038
Os,834.0,-1.707,-0.63,-202.1,-26.97,-24.78,-24.53,-22.1,-14.94,-14.937,-3.15,-3.15,-3.15,-0.725,6.619,13.657,24.84,29.9,117.9,274.9,0.989,0.989,-0.63,1.172,1.295,1.35,6.14,6.14,6.14,6.16,3.87,3.61,0.47,-0.293,-0.898
Os,835.0,-1.623,-0.63,-200.62,-30.43,-28.44,-28.1,-25.62,-25.62,-21.898,-15.272,-13.831,-5.099,-1.332,5.882,12.835,22.892,29.38,29.38,188.38,0.846,0.846,-0.63,1.208,1.208,1.47,2.31,2.36,6.07,6.13,3.88,3.56,0.3,-0.762,-0.762
Os,836.0,-1.636,-1.16,-200.46,-31.4,-28.92,-28.65,-25.46,-22.4,-22.399,-14.439,-8.18,-2.873,-0.323,4.306,8.225,26.219,37.54,156.54,201.54,0.468,0.492,-1.16,0.966,1.046,0.96,4.16,4.49,6.32,6.38,4.74,4.6,0.32,-0.692,-1.139
Os,837.0,-1.684,-1.13,-74.63,-27.63,-25.74,-24.8,-21.63,-21.63,-13.818,-3.032,-3.032,-3.032,-0.384,6.139,12.88,23.353,35.37,139.37,171.37,0.11,0.128,-1.13,0.985,0.985,1.38,6.08,6.08,6.08,6.08,3.84,3.57,0.29,-0.726,-1.358
Os,838.0,-1.574,-1.13,-200.99,-26.38,-24.62,-24.15,-21.99,-20.99,-13.774,-3.088,-3.088,-3.088,-0.574,5.737,15.144,25.529,45.01,121.01,153.01,0.042,0.042,-1.13,0.312,1.004,1.48,6.1,6.1,6.1,6.16,3.79,3.57,0.28,-0.448,-1.463
Os,839.0,-1.557,-1.13,-190.65,-29.65,-27.91,-26.74,-23.65,-23.65,-15.867,-2.696,-2.696,-2.696,-0.048,8.976,17.96,30.744,43.35,43.35,45.35,0.032,0.032,-1.13,0.933,0.933,1.37,6.84,6.84,6.84,6.9,4.06,3.54,-0.4,-1.436,-1.436
Os,840.0,-1.632,-1.13,-203.07,-30.07,-29.05,-28.6,-27.07,-19.07,-17.841,-3.438,-3.438,-3.438,-0.885,9.65,17.401,32.737,43.93,43.93,45.93,0.143,0.143,-1.13,0.787,0.848,1.0,6.84,6.84,6.84,6.92,3.86,3.57,-0.67,-1.351,-1.351
Os,841.0,-1.572,-1.0,-148.67,-33.67,-31.14,-19.71,-16.67,-16.67,-16.393,-3.56,-3.56,-3.56,-1.083,9.071,14.934,31.571,36.57,36.57,42.33,0.688,0.688,-1.0,1.024,1.024,1.06,6.57,6.57,6.57,6.59,3.85,3.49,-0.72,-1.132,-1.132
Os,842.0,-1.632,-0.84,-145.69,-31.69,-29.4,-27.27,-24.69,-24.69,-16.391,-3.285,-3.285,-3.285,-0.975,9.031,14.952,31.53,31.53,31.53,57.31,0.688,0.688,-0.84,0.88,0.88,1.05,6.72,6.72,6.72,6.77,3.82,3.52,-0.7,-0.631,-0.631
Os,843.0,-1.625,-0.84,-144.84,-42.84,-40.61,-39.23,-36.84,-17.84,-16.61,-3.419,-3.419,-3.419,-1.237,8.524,14.679,31.23,31.23,49.16,75.16,0.644,0.644,-0.84,0.751,0.893,1.05,6.6,6.6,6.6,6.6,3.9,3.53,-0.66,-0.69,-1.658
Os,844.0,-1.642,0.22,-200.83,-174.83,-174.46,-172.45,-171.83,-23.83,-15.945,-2.781,-2.781,-2.781,-0.471,9.467,15.538,32.101,46.17,52.17,179.17,0.465,0.465,0.22,0.636,0.594,1.22,6.58,6.58,6.58,6.55,3.85,3.54,-0.68,-1.244,-1.608
Os,845.0,-1.637,-0.75,-200.88,-28.88,-27.33,-27.13,-25.88,-24.88,-16.641,-3.195,-3.195,-3.195,-1.15,9.265,14.902,31.466,43.12,43.12,50.12,0.66,0.66,-0.75,0.385,1.156,1.47,6.61,6.61,6.61,6.68,3.83,3.53,-0.69,-1.348,-1.348
Os,846.0,-1.635,-0.81,-179.55,-29.55,-27.53,-26.58,-23.55,-23.55,-16.851,-3.18,-3.18,-3.18,-0.901,9.4,15.061,31.636,55.45,67.45,94.45,0.538,0.538,-0.81,1.21,1.21,1.28,6.55,6.55,6.55,6.56,3.78,3.54,-0.67,-1.516,-1.709
Os,847.0,-1.651,-0.65,-181.52,-29.52,-27.43,-26.11,-23.52,-23.52,-17.055,-3.267,-3.267,-3.267,-0.827,9.231,14.429,30.992,31.48,51.48,100.48,0.525,0.742,-0.65,1.078,1.078,1.22,6.61,6.61,6.61,6.65,3.85,3.52,-0.69,-0.905,-1.657
Os,848.0,-1.66,-0.62,-180.54,-28.54,-26.76,-26.54,-24.54,-16.12,-16.12,-3.267,-3.267,-3.267,-0.6,9.172,14.323,30.766,47.46,137.46,204.46,0.86,0.86,-0.62,1.048,1.489,1.43,6.65,6.65,6.65,6.73,3.83,3.51,-0.64,-1.635,-1.593
Os,849.0,-1.728,-0.57,-179.94,-29.94,-27.58,-25.73,-22.94,-22.94,-16.028,-3.7,-3.7,-3.7,-0.784,7.984,14.568,31.163,52.06,52.06,165.06,0.93,1.004,-0.57,1.288,1.288,1.5,6.68,6.68,6.68,6.71,4.01,3.58,-0.67,-1.482,-1.482
Os,850.0,-1.585,-0.57,-186.49,-28.08,-25.69,-25.32,-22.49,-22.49,-15.413,-2.799,-2.799,-2.799,-0.29,8.603,14.962,31.506,79.51,192.51,197.51,0.764,1.077,-0.57,1.381,1.381,1.65,6.8,6.8,6.8,6.85,3.88,3.49,-0.65,-1.328,-1.44
Os,851.0,-1.662,-0.26,-195.18,-28.18,-26.54,-25.49,-23.18,-23.18,-15.365,-3.297,-3.297,-3.297,-0.064,8.534,15.506,30.813,71.82,189.82,220.82,0.668,0.831,-0.26,1.279,1.279,1.52,6.67,6.67,6.67,6.65,3.83,3.51,-0.67,-1.039,-1.516
Os,852.0,-1.517,-0.16,-202.73,-28.73,-27.64,-27.36,-25.73,-25.73,-18.716,-3.327,-3.327,-3.327,0.099,4.156,11.734,37.198,67.27,202.27,272.27,0.842,0.992,-0.16,1.56,1.56,1.58,6.59,6.59,6.59,6.63,5.43,4.99,-0.65,-0.915,-1.423
Os,853.0,-1.546,-1.04,-208.31,-28.14,-25.74,-25.43,-23.31,-21.31,-14.839,-2.956,-2.956,-2.956,0.378,7.578,13.874,30.161,65.69,227.69,291.69,0.818,0.956,-1.04,0.724,1.768,1.94,6.64,6.64,6.64,6.68,4.71,4.51,-0.62,-0.886,-1.568
Os,854.0,-1.521,-1.04,-200.42,-27.42,-25.04,-25.02,-21.42,-21.42,-15.332,-2.561,-2.561,-2.561,0.622,7.709,12.536,28.88,57.58,96.58,208.58,0.546,0.546,-1.04,1.361,1.361,1.51,6.69,6.69,6.69,6.64,4.75,4.55,-0.64,-1.132,-1.355
Os,855.0,-1.736,-1.04,-196.67,-30.67,-28.1,-27.81,-24.67,-24.67,-15.877,-2.785,-2.785,-2.785,-0.199,9.632,15.31,30.788,65.33,203.33,304.33,0.645,0.734,-1.04,1.124,1.124,1.53,6.87,6.87,6.87,6.87,3.91,3.57,-0.27,-0.328,-1.196
Os,856.0,-1.765,-1.04,-195.42,-30.42,-28.19,-27.67,-24.42,-24.42,-16.517,-2.761,-2.761,-2.761,-0.178,10.095,15.573,30.83,50.58,144.58,245.58,0.447,0.447,-1.04,1.125,1.125,1.49,6.82,6.82,6.82,6.86,3.76,3.57,-0.29,-0.719,-1.154
Os,857.0,-1.676,-1.04,-200.89,-28.89,-26.87,-26.47,-22.89,-22.89,-15.853,-2.816,-2.816,-2.816,0.1,10.102,15.958,31.207,60.11,236.11,240.11,0.306,0.306,-1.04,1.345,1.345,1.53,6.84,6.84,6.84,6.96,3.81,3.56,-0.33,-0.906,-1.222
Os,858.0,-1.676,-1.04,-200.78,-29.78,-27.81,-26.88,-23.78,-23.78,-16.628,-2.834,-2.834,-2.834,-0.029,8.432,13.754,35.428,82.22,254.22,256.22,0.272,0.272,-1.04,1.024,1.024,1.22,6.8,6.8,6.8,6.88,4.49,4.2,-0.33,-0.537,-1.398
Os,859.0,-1.676,-1.04,-200.34,-29.34,-27.47,-27.14,-24.34,-24.34,-16.746,-2.715,-2.715,-2.715,0.001,9.996,15.763,31.026,44.66,76.66,253.66,0.184,0.342,-1.04,1.037,1.037,1.26,6.97,6.97,6.97,6.97,3.84,3.58,-0.32,-0.604,-0.934
Os,860.0,-1.704,-1.04,-200.03,-30.03,-27.99,-26.86,-24.03,-24.03,-17.34,-2.868,-2.868,-2.868,-0.407,10.022,15.427,33.04,38.97,222.97,232.97,0.32,0.32,-1.04,0.844,0.844,1.1,6.97,6.97,6.97,7.01,3.9,3.65,-0.97,-0.982,-1.036
Os,861.0,-1.621,-1.75,-200.58,-29.58,-27.51,-26.98,-24.58,-17.57,-17.568,-2.634,-2.634,-2.634,0.035,10.565,15.723,33.382,71.42,71.42,83.42,0.321,0.321,-1.75,0.65,1.228,1.11,6.98,6.98,6.98,7.05,3.82,3.6,-0.97,-1.636,-1.636
Os,862.0,-1.547,-1.75,-167.74,-72.74,-70.07,-69.54,-66.74,-24.74,-15.652,-15.652,-2.985,-2.985,0.031,3.905,9.582,33.017,55.26,55.26,81.26,0.632,0.92,-1.75,1.055,1.458,1.88,1.88,6.87,6.87,6.89,5.59,5.38,-0.98,-1.402,-1.402
Os,863.0,-1.586,-0.4,-161.34,-27.34,-25.38,-25.12,-23.21,-23.21,-20.602,-20.602,-16.085,-2.886,-0.028,4.515,10.229,33.685,53.66,53.66,57.66,0.855,1.11,-0.4,1.069,1.069,1.1,1.1,1.26,7.03,7.08,5.52,5.35,-0.99,-1.642,-1.642
Os,864.0,-1.635,-0.4,-233.45,-27.45,-25.23,-24.67,-22.45,-22.45,-20.564,-20.564,-16.453,-2.567,0.219,4.669,11.051,34.759,39.77,39.77,41.55,0.764,1.08,-0.4,1.082,1.082,1.02,1.02,1.18,6.83,6.83,5.58,5.43,-0.88,-1.126,-1.126
Os,865.0,-1.402,-0.24,-211.47,-101.47,-99.84,-47.97,-46.47,-32.47,-18.042,-18.042,-16.799,-3.198,0.269,4.774,11.553,34.842,46.53,46.53,46.53,0.784,0.846,-0.24,0.757,1.009,1.25,1.25,1.19,6.84,7.2,5.51,5.26,-1.02,-1.402,-1.402
Os,866.0,-1.61,0.05,-219.01,-27.01,-25.57,-24.19,-22.01,-22.01,-18.01,-4.01,-4.01,-4.01,0.31,13.31,37.99,44.99,49.99,55.33,59.99,0.796,1.013,0.05,1.504,1.504,1.382,6.81,6.81,6.81,6.853,3.12,2.607,0.33,-0.313,-0.691
Os,867.0,-1.43,0.11,-270.4,-40.4,-39.17,-38.22,-35.57,-35.57,-35.57,-35.57,-24.23,-10.4,1.26,4.805,8.696,33.089,36.6,43.6,44.6,0.866,0.93,0.11,1.874,1.874,1.874,1.874,2.104,6.856,6.74,5.22,5.04,-0.8,-0.842,-0.998
Os,868.0,-1.67,0.11,-295.86,-29.86,-28.8,-28.57,-27.86,-27.86,-25.693,-23.528,-16.822,-8.121,0.91,11.933,14.592,23.251,24.14,55.14,57.14,0.71,1.028,0.11,0.726,0.726,1.61,2.45,2.6,6.03,5.92,2.26,1.91,-1.4,-1.311,-1.512
Os,869.06,1.486,0.18,-203.19,-82.19,-80.69,-58.8,-57.19,-48.43,-48.43,-37.19,-15.19,-8.19,-8.19,-8.19,2.81,2.81,2.81,2.81,2.81,1.032,1.177,0.18,1.248,1.267,1.267,5.594,5.745,4.763,4.763,4.763,1.486,1.486,1.486,1.486
Os,870.0,-1.581,-0.84,-200.18,-31.03,-28.7,-28.08,-25.18,-25.18,-20.236,-8.12,-8.12,-8.12,1.515,12.849,19.288,39.48,51.11,51.11,52.82,0.713,0.713,-0.84,1.095,1.095,1.27,6.11,6.11,6.11,6.05,4.4,3.94,2.7,-0.815,-0.815
